,final_signal,model_signal
Total log return,43.6401,113.4684
Ann. log return,5.8341,15.1692
Ann. volatility,0.3766,0.9156
Sharpe ratio,15.49,16.567
Max drawdown,-0.0557,-0.0932
Hit rate,0.954,0.962
Active days,1620.0,1672.0
